network,version,instance,logit_bp,ev_A_-1,ev_A_-2,ev_A_-3,ev_A_3,ev_A_2,ev_A_1
interactions,empirical,,-12.682738899250964,-39.24626633711665,-26.63454141735118,-22.83921765397673,23.02977444268252,38.269140170802125,51.929005236367615
interactions,rewired,0,-30.618259602027244,-23.312067764766986,-20.2985251538635,-18.067932710463296,18.58797431826209,20.287658107425635,53.93032736679423
interactions,rewired,1,-31.50118224152256,-22.519895146083098,-20.94874039971199,-17.654147815937677,18.85958603593854,20.062704780226486,54.02107738760566
interactions,rewired,2,-31.144480935859477,-22.48840289480193,-20.540739662966907,-17.722043914131348,19.08424752068274,19.489895168301395,53.632883830661406
interactions,rewired,3,-31.064861633565776,-22.634928768604624,-20.99056641993337,-17.596732034384495,19.04799799767948,19.803476879269777,53.6997904021704
interactions,rewired,4,-31.831931551554856,-22.534087367995216,-20.736020758889754,-17.995702200964395,18.781436708621662,19.754949596334495,54.36601891955007
interactions,rewired,5,-31.363858970686806,-22.53325895266576,-20.808058771692384,-17.741651198300815,18.85967914281995,19.706906360378046,53.89711792335257
interactions,rewired,6,-30.853100259665773,-22.948884583824054,-20.656136728807653,-17.604571832186604,19.360243906783953,19.767302441026644,53.80198484348983
interactions,rewired,7,-30.87291976568345,-22.932764986830186,-20.357871865914728,-17.93196578494551,18.818029765691065,19.785523407018708,53.805684752513635
interactions,rewired,8,-30.481238418684104,-22.909279631883553,-20.703496864611466,-17.813185376169834,18.924530024254295,20.06875941536141,53.39051805056766
interactions,rewired,9,-30.680036325851006,-23.00458824293232,-20.69056125575606,-17.876163536692957,18.48065347497794,19.666047918740226,53.68462456878333
interactions,rewired,10,-31.46121867103511,-22.484233307869825,-20.576656915879422,-17.727292425406066,18.718624879432166,20.104679014130426,53.945451978904934
interactions,rewired,11,-31.474170293849724,-22.505028231459946,-20.94295969341271,-17.810036548504748,18.657955859746437,20.134155333793665,53.97919852530967
interactions,rewired,12,-31.677978679725147,-22.452345750137628,-20.44953712858909,-17.9787131975533,18.42243188403013,19.46998898909606,54.130324429862775
interactions,rewired,13,-31.158111552111627,-22.759884858397463,-20.306342028544346,-18.128491096817665,18.88555569945803,19.625962125758715,53.91799641050909
interactions,rewired,14,-31.331422596930416,-22.966468412283547,-20.784542319169557,-18.062215439198688,19.2801912854209,19.93375698869835,54.29789100921396
interactions,rewired,15,-31.329364081016852,-23.084482537078525,-20.135833573027973,-17.942332811924132,18.479638200807038,20.2478957242982,54.41384661809538
interactions,rewired,16,-30.807714975924522,-22.931828580510977,-20.48674297556369,-17.58038952431749,18.757299282868797,19.725700118039406,53.7395435564355
interactions,rewired,17,-31.442148174012303,-22.63068372291785,-20.677705902002682,-17.969345846437392,19.534798733490085,19.851432989337454,54.072831896930154
interactions,rewired,18,-30.865963439228565,-22.971054223411315,-20.524013794124496,-17.959871353203674,19.006023226665654,19.348982084631736,53.83701766263988
interactions,rewired,19,-30.890974854826652,-23.025004685098942,-20.756827325669754,-18.18420905291992,18.619399203761127,19.88749354727796,53.915979539925594
interactions,rewired,20,-31.021573074358052,-22.69952824438588,-21.14231301677124,-17.717368481018866,19.49830812403394,19.884882295040317,53.72110131874393
interactions,rewired,21,-30.806106676511885,-22.896143746808182,-20.99647500316486,-17.755386797581114,18.764370574717802,20.13746479564323,53.702250423320066
interactions,rewired,22,-30.844750424092844,-22.842496477909357,-20.475397529768003,-17.80780824996419,18.613912227192298,20.21900859116806,53.6872469020022
interactions,rewired,23,-30.871962962619953,-22.922385806391347,-20.579954164951463,-17.760534783671034,19.034348399190595,19.71675562698334,53.7943487690113
interactions,rewired,24,-30.659724921377148,-23.253474583397796,-20.795622141464573,-17.755513521985957,19.04808698673324,20.07441938226148,53.913199504774944
